Text,Url
"Skip to main content",#main-content
"Alumni",https://alumni.pec.ac.in/
"Webmail",https://pec.ac.in/institute/email-services
"Jobs",/jobs
"Tenders",/tenders
"Office Orders",https://pec.ac.in/office-orders
"NIRF",https://pec.ac.in/nirf-data-20
"RTI",/node/549
"Placements",/tnp/about-cell
"Contact Us",/institute-functionaries
"",/
"",#
"Institute",/institute
"History",/history
"Vision & Mission",/vision
"Campus",/campus
"Location",/location
"News and Events",/all_events
"Balance Sheets",/balance-sheets
"Rules, Guidelines & Forms",http://pec.ac.in/rules-guidelines-forms
"Faculty Affairs",/faculty-affairs
"IQAC Reports",/institute/iqac-reports
"Administration",/administration
"Board Of Governors",/board-of-governors
"Chairman, Board of Governors",/chairman-bog
"Director",/director
"Senate Members",/senate-members
"Building & Works Committee",/building-works-committee
"Finance Committee",/finance-committee
"Grievance Redressal Committee",/grievance-redressal-committee
"Minutes of Meetings",/minutes-meetings
"Programmes",/programmes
"Undergraduate",/programmes/ug/structure
"Postgraduate",/programmes/pg/structure
"Doctorate",/programmes/phd
"Academic Support for Students",/programmes/student-support
"Accreditation",/programmes/accreditation
"Scholarships",/programmes/scholarships
"IQAC Reports",/iqac/aqar-reports
"E-Academic Portal",https://eakadamik.in/pec/
"Admissions",/admissions
"Academic Units",/academic-units
"Departments",/departments
"Centres",/centres
"Research",/research/overview
"Research Groups",/research-groups
"Sponsored Research",/sponsored-research
"In-House Projects",/house-projects
"Consultancy",/consultancy
"Courses and Conferences",/courses-and-conferences
"Young Research Fellows Programme",/yrf/about-programme
"Norms and Forms",/norms-and-forms
"Contacts",/research/contacts
"Campus Life",/campus-life
"Students",/current-students
"Facilities",/facilities
"Online Fee Payment",https://www.onlinesbi.com/
"MoU signed between PEC and Bansal EnviroTech",https://pec.ac.in/events/mou-signed-between-pec-and-bansal-envirotech
"MoU signed between PEC and KISCO India Private Limited (KIPL)",https://pec.ac.in/events/mou-signed-between-pec-and-kisco-india-private-limited-kipl
"Homecoming 2020: First Annual Alumni Meet",https://pec.ac.in/events/homecoming-2020-first-annual-alumni-meet
"Siemens Center of Excellence Inaugurated at PEC",https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec
"Ban on Single Use Plastic/ Thermocol Items in Chandigarh",http://chandigarhenvis.gov.in/
"Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.",https://pec.ac.in/donations/distinguished-alumnus-award
"",https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020
"",https://pec.ac.in/events/mou-signed-between-pec-and-peda
"",https://pec.ac.in/events/98th-foundation-day
"One week STC on Micro Manufacturing from 4th to 8th January, 2021",https://pec.ac.in/sites/default/files/uploads/events/STC-MMCO-2021.pdf
"Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19",https://www.pec.ac.in/sites/default/files/uploads/events/notice_shivalik_hostel_covid.pdf
"Manual to Access pec.edu.in Email ID",https://pec.ac.in/sites/default/files/uploads/events/Email_Manual.pdf
"As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.",https://pec.ac.in/sites/default/files/uploads/events/corona_virus_urgent_notice.pdf
"Contribute to Covid Emergency Funds",https://pec.ac.in/donations/
"",https://pec.ac.in/institute/covid-19-corona-virus/notifications
"Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years.",https://pec.ac.in/jobs/job-19-7-18/details
"Description, Purpose and Guidelines of the Voyager Program",https://pec.ac.in/events/voyager-program-details
"Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award",/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award
"Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications",/events/online-short-term-course-stc-smart-functional-materials-emerging-applications
"Webinar on ANSYS High Frequency Application in 5G Antenna",/events/webinar-ansys-high-frequency-application-5g-antenna
"Two Days Workshop on Advanced Functional Materials (WAFM-2020)",/events/two-days-workshop-advanced-functional-materials-wafm-2020
"Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020)",/events/online-short-term-course-nanotechnology-electronic-and-photonic-devices-nanodev-2020
"",https://www.facebook.com/pec.university.official/
"",https://twitter.com/pecchandigarh
"",https://plus.google.com/111309164844966427284/about
"",https://www.linkedin.com/company/pec-university-of-technology-chandigarh
"",/videos
"India 2020 Top Cited Paper",https://pec.ac.in/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award
"Web Development & Programming the IoT",https://pec.ac.in/events/six-weeks-workshop-web-development-introduction-programming-internet-things-iot
"Space Flight: Challenges & Opportunities",https://pec.ac.in/events/kalpana-chawla-memorial-lecture-national-seminar
"Collaborations",/coe/collaborations
"Time Tables",/current-students/time-tables
"Examination",/current-students/examination
"Academic Calendar",/academics/calendar
"Library",/library
"Computer Centre",/computer-centre
"Sports",/Sports
"Hostels",/hostels
"Medical Facility",/medical-facilities
"Workshops",/workshops
"E-Notices",http://172.15.0.24/enotices/
"Multimedia",/multimedia
"Brochure & Prospectus",/prospectus
"CRIKC",http://crikc.puchd.ac.in/
"Sexual Harassment Complaints",/institute/sexual-harassment-complaints-committee
"Website Credits",/credits
"Web Editor",/web_editor
"Anti-Ragging",/anti-ragging
"Privacy Statement",/privacy-policy
"Report Copyright Infringement",/reporting-copyright-infringement
